year,country,city,gender,rank,name,nation,round,time,forfeit
2011,fra,chamonix,men,1,Sergey Abdrakhmanov,RUS,qualifications,,
2011,fra,chamonix,men,2,Libor Hroza,CZE,qualifications,,
2011,fra,chamonix,men,3,QiXin Zhong,CHN,qualifications,,
2011,fra,chamonix,men,4,Sergei Sinitcyn,RUS,qualifications,,
2011,fra,chamonix,men,5,Lukasz Swirk,POL,qualifications,,
2011,fra,chamonix,men,6,Ivan Novikov,RUS,qualifications,,
2011,fra,chamonix,men,7,Yaroslav Gontaryk,UKR,qualifications,,
2011,fra,chamonix,men,8,Stanislav Kokorin,RUS,qualifications,,
2011,fra,chamonix,men,9,Zufar Nigmanov,RUS,qualifications,,
2011,fra,chamonix,men,10,Konstantin Payl,RUS,qualifications,,
2011,fra,chamonix,men,11,Sayat Bokanov,KAZ,qualifications,,
2011,fra,chamonix,men,12,Danyil Boldyrev,UKR,qualifications,,
2011,fra,chamonix,men,13,Marcin Dzienski,POL,qualifications,,
2011,fra,chamonix,men,14,Oleksiy Yurko,UKR,qualifications,,
2011,fra,chamonix,men,15,Viacheslav Vedenchuk,RUS,qualifications,,
2011,fra,chamonix,men,16,Isaac Estevez ,ECU,qualifications,,
2011,fra,chamonix,men,16,Leonardo Gontero,ITA,qualifications,,
2011,fra,chamonix,men,18,Maksym Osipov,UKR,qualifications,,
2011,fra,chamonix,men,19,Máté Gál,HUN,qualifications,,
2011,fra,chamonix,men,19,Andrii Kytaiko,UKR,qualifications,,
2011,fra,chamonix,men,21,Maksym Styenkovyy,UKR,qualifications,,
2011,fra,chamonix,men,22,Arseniy Kurunov,RUS,qualifications,,
2011,fra,chamonix,men,23,Yoann LE COUSTER,FRA,qualifications,,
2011,fra,chamonix,men,24,Yuhang Zhang,CHN,qualifications,,
2011,fra,chamonix,men,25,Nikolay Fedorov,RUS,qualifications,,
2011,fra,chamonix,men,26,Yaroslav Topal,UKR,qualifications,,
2011,fra,chamonix,men,27,Alexey Molchanov,KAZ,qualifications,,
2011,fra,chamonix,men,28,Andres Quinteros,ECU,qualifications,,
2011,fra,chamonix,men,29,Nikita Devyaterikov,KAZ,qualifications,,
2011,fra,chamonix,men,30,Alexandr Nigmatulin,KAZ,qualifications,,
2011,fra,chamonix,men,31,Evgenii Vaitsekhovskii,RUS,qualifications,,
2011,fra,chamonix,men,32,Jedrzej Komosinski,POL,qualifications,,
2011,fra,chamonix,men,33,Csaba Komondi,HUN,qualifications,,
2011,fra,chamonix,men,34,Gianluca Sirotti,ITA,qualifications,,
2011,fra,chamonix,men,35,Bassa Mawem,FRA,qualifications,,
2011,fra,chamonix,men,36,Hryhorii Lisovskyi,UKR,qualifications,,
2011,fra,chamonix,men,37,Fabian Bosler,GER,qualifications,,
2011,fra,chamonix,men,38,Maximilian Porscha,GER,qualifications,,
2011,fra,chamonix,men,39,Stefano Ghisolfi,ITA,qualifications,,
2011,fra,chamonix,men,40,Bence Gál,HUN,qualifications,,
2011,fra,chamonix,men,41,Michel Sirotti,ITA,qualifications,,
2011,fra,chamonix,men,42,Artyom Devyaterikov,KAZ,qualifications,,
2011,fra,chamonix,men,43,Jiacuo Suolang,CHN,qualifications,,
2011,fra,chamonix,men,44,Esteban Eguez,ECU,qualifications,,
2011,fra,chamonix,men,45,Martin Micka,CZE,qualifications,,
2011,chn,changzhi,men,1,Evgenii Vaitsekhovskii,RUS,qualifications,,
2011,chn,changzhi,men,2,Pandu Asmoro Galar,INA,qualifications,,
2011,chn,changzhi,men,3,Sergey Abdrakhmanov,RUS,qualifications,,
2011,chn,changzhi,men,4,Sergei Sinitcyn,RUS,qualifications,,
2011,chn,changzhi,men,5,Lukasz Swirk,POL,qualifications,,
2011,chn,changzhi,men,6,Yulianto Abudzar,INA,qualifications,,
2011,chn,changzhi,men,7,Evgeny Astashkin,RUS,qualifications,,
2011,chn,changzhi,men,8,Jedrzej Komosinski,POL,qualifications,,
2011,chn,changzhi,men,9,Libor Hroza,CZE,qualifications,,
2011,chn,changzhi,men,10,Ning ZHANG,CHN,qualifications,,
2011,chn,changzhi,men,11,Arsenii Shevchenko,RUS,qualifications,,
2011,chn,changzhi,men,12,Alexey Molchanov,KAZ,qualifications,,
2011,chn,changzhi,men,13,Tonny Mamiri,INA,qualifications,,
2011,chn,changzhi,men,14,Jiun-Jie Tzeng ,TPE,qualifications,,
2011,chn,changzhi,men,15,Lincai Zhong,CHN,qualifications,,
2011,chn,changzhi,men,16,Stanislav Kokorin,RUS,qualifications,,
2011,chn,changzhi,men,17,Zufar Nigmanov,RUS,qualifications,,
2011,chn,changzhi,men,18,Chi-Wai Lai,HKG,qualifications,,
2011,chn,changzhi,men,19,Ruizhi Chen,CHN,qualifications,,
2011,ita,milano,men,1,Sergei Sinitcyn,RUS,qualifications,,
2011,ita,milano,men,2,Evgenii Vaitsekhovskii,RUS,qualifications,,
2011,ita,milano,men,3,Libor Hroza,CZE,qualifications,,
2011,ita,milano,men,4,Lukasz Swirk,POL,qualifications,,
2011,ita,milano,men,5,Jedrzej Komosinski,POL,qualifications,,
2011,ita,milano,men,6,Zufar Nigmanov,RUS,qualifications,,
2011,ita,milano,men,7,Alexandr Nigmatulin,KAZ,qualifications,,
2011,ita,milano,men,8,Stanislav Kokorin,RUS,qualifications,,
2011,ita,milano,men,9,Arsenii Shevchenko,RUS,qualifications,,
2011,ita,milano,men,10,Maksym Styenkovyy,UKR,qualifications,,
2011,ita,milano,men,11,Sayat Bokanov,KAZ,qualifications,,
2011,ita,milano,men,12,Sergey Abdrakhmanov,RUS,qualifications,,
2011,ita,milano,men,13,Ivan Novikov,RUS,qualifications,,
2011,ita,milano,men,14,Leonardo Gontero,ITA,qualifications,,
2011,ita,milano,men,15,Yaroslav Gontaryk,UKR,qualifications,,
2011,ita,milano,men,16,Alexey Molchanov,KAZ,qualifications,,
2011,ita,milano,men,17,Stefano Ghisolfi,ITA,qualifications,,
2011,ita,milano,men,17,Michel Sirotti,ITA,qualifications,,
2011,ita,milano,men,19,Viacheslav Vedenchuk,RUS,qualifications,,
2011,ita,milano,men,20,Csaba Komondi,HUN,qualifications,,
2011,ita,milano,men,21,Fabian Bosler,GER,qualifications,,
2011,ita,milano,men,22,Arman Ter-Minasyan,RUS,qualifications,,
2011,ita,milano,men,23,Maximilian Porscha,GER,qualifications,,
2011,ita,milano,men,24,Erekle Mikeladze,GEO,qualifications,,
2011,ita,milano,men,24,Gianluca Sirotti,ITA,qualifications,,
2011,ita,milano,men,26,Yury Novitskiy,RUS,qualifications,,
2011,ita,milano,men,27,Bence Gál,HUN,qualifications,,
2011,ita,milano,men,28,Simon Bosler,GER,qualifications,,
2011,ita,milano,men,29,Máté Gál,HUN,qualifications,,
2011,ita,milano,men,30,Andreas Leemann,SUI,qualifications,,
2011,ita,milano,men,31,Rolands Rugens,LAT,qualifications,,
2011,ita,milano,men,32,Jonas Kreis,SUI,qualifications,,
2011,ita,milano,men,33,Martin Micka,CZE,qualifications,,
2011,ita,milano,men,34,Giorgi Gabuldani,GEO,qualifications,,
2011,chn,xinin,men,1,QiXin Zhong,CHN,qualifications,,
2011,chn,xinin,men,2,Lukasz Swirk,POL,qualifications,,
2011,chn,xinin,men,3,Pandu Asmoro Galar,INA,qualifications,,
2011,chn,xinin,men,4,Sergei Sinitcyn,RUS,qualifications,,
2011,chn,xinin,men,5,Jedrzej Komosinski,POL,qualifications,,
2011,chn,xinin,men,6,Libor Hroza,CZE,qualifications,,
2011,chn,xinin,men,7,Arsenii Shevchenko,RUS,qualifications,,
2011,chn,xinin,men,8,Sergey Abdrakhmanov,RUS,qualifications,,
2011,chn,xinin,men,9,Evgenii Vaitsekhovskii,RUS,qualifications,,
2011,chn,xinin,men,10,Tonny Mamiri,INA,qualifications,,
2011,chn,xinin,men,11,Yulianto Abudzar,INA,qualifications,,
2011,chn,xinin,men,12,Stanislav Kokorin,RUS,qualifications,,
2011,chn,xinin,men,13,Ning ZHANG,CHN,qualifications,,
2011,chn,xinin,men,14,Evgeny Astashkin,RUS,qualifications,,
2011,chn,xinin,men,15,Lincai Zhong,CHN,qualifications,,
2011,chn,xinin,men,16,Zufar Nigmanov,RUS,qualifications,,
2011,chn,xinin,men,17,Jiacuo Suolang,CHN,qualifications,,
2011,chn,xinin,men,18,Jiun-Jie Tzeng ,TPE,qualifications,,
2011,chn,xinin,men,19,ZiDa Ma,CHN,qualifications,,
2011,fra,chamonix,women,1,Edyta Ropek,POL,qualifications,,
2011,fra,chamonix,women,2,Alina Gaidamakina,RUS,qualifications,,
2011,fra,chamonix,women,3,Mariia Krasavina,RUS,qualifications,,
2011,fra,chamonix,women,4,Anouck Jaubert,FRA,qualifications,,
2011,fra,chamonix,women,5,Anna Tsyganova,RUS,qualifications,,
2011,fra,chamonix,women,6,Margot Heitz,FRA,qualifications,,
2011,fra,chamonix,women,7,Aleksandra Miroslaw,POL,qualifications,,
2011,fra,chamonix,women,8,Yuliya Levochkina ,RUS,qualifications,,
2011,fra,chamonix,women,9,Natalia Titova,RUS,qualifications,,
2011,fra,chamonix,women,10,CuiLian He,CHN,qualifications,,
2011,fra,chamonix,women,11,Esther Bruckner,FRA,qualifications,,
2011,fra,chamonix,women,12,Kseniya Polekhina,RUS,qualifications,,
2011,fra,chamonix,women,13,Lucelia Blanco,VEN,qualifications,,
2011,fra,chamonix,women,14,Ekaterina Novitskaia,RUS,qualifications,,
2011,fra,chamonix,women,15,Kseniia Alekseeva,RUS,qualifications,,
2011,fra,chamonix,women,16,Olena Ryepko,UKR,qualifications,,
2011,fra,chamonix,women,16,Anastasiya Savisko,UKR,qualifications,,
2011,fra,chamonix,women,18,Klaudia Buczek,POL,qualifications,,
2011,fra,chamonix,women,19,Monika Prokopiuk-Kawecka,POL,qualifications,,
2011,fra,chamonix,women,20,Oleksandra BUD Gusaim,UKR,qualifications,,
2011,fra,chamonix,women,21,Sara Morandi,ITA,qualifications,,
2011,fra,chamonix,women,22,Yulia Vaytsekhovskaya,RUS,qualifications,,
2011,fra,chamonix,women,23,Nataliia Stepanova,RUS,qualifications,,
2011,fra,chamonix,women,24,Tamara Kuznetsova,KAZ,qualifications,,
2011,fra,chamonix,women,25,Valentina Yurina,RUS,qualifications,,
2011,fra,chamonix,women,26,Dinara Fakhritdinova,RUS,qualifications,,
2011,fra,chamonix,women,27,Julie Michelard,FRA,qualifications,,
2011,fra,chamonix,women,28,Xuhua PAN,CHN,qualifications,,
2011,fra,chamonix,women,29,Anna Stenkovaya,RUS,qualifications,,
2011,fra,chamonix,women,30,Stefanie Pichler,AUT,qualifications,,
2011,fra,chamonix,women,31,Isabell Haag,GER,qualifications,,
2011,fra,chamonix,women,32,Anna Kolokovska,UKR,qualifications,,
2011,fra,chamonix,women,33,Dinara Irsaliyeva,KAZ,qualifications,,
2011,fra,chamonix,women,34,Yevgeniya Soboleva,KAZ,qualifications,,
2011,fra,chamonix,women,35,Michela Facci,ITA,qualifications,,
2011,fra,chamonix,women,36,LaMu RENQING,CHN,qualifications,,
2011,fra,chamonix,women,37,Anastasia Ermolaeva,RUS,qualifications,,
2011,fra,chamonix,women,38,Anna Wagnerova,CZE,qualifications,,
2011,fra,chamonix,women,39,Andrea Rojas,ECU,qualifications,,
2011,fra,chamonix,women,40,Andrea Fichtner,GER,qualifications,,
2011,fra,chamonix,women,41,Carolina Rosero,ECU,qualifications,,
2011,fra,chamonix,women,42,Nóra Király,HUN,qualifications,,
2011,fra,chamonix,women,43,Elise Sethna,CAN,qualifications,,
2011,chn,changzhi,women,1,Alina Gaidamakina,RUS,qualifications,,
2011,chn,changzhi,women,2,CuiLian He,CHN,qualifications,,
2011,chn,changzhi,women,3,Edyta Ropek,POL,qualifications,,
2011,chn,changzhi,women,4,Yuliya Levochkina ,RUS,qualifications,,
2011,chn,changzhi,women,5,Kseniia Alekseeva,RUS,qualifications,,
2011,chn,changzhi,women,6,Evi Neliwati,INA,qualifications,,
2011,chn,changzhi,women,7,Anna Tsyganova,RUS,qualifications,,
2011,chn,changzhi,women,8,Mariia Krasavina,RUS,qualifications,,
2011,chn,changzhi,women,9,Tamara Kuznetsova,KAZ,qualifications,,
2011,chn,changzhi,women,10,yang wang,CHN,qualifications,,
2011,chn,changzhi,women,11,Supita Tita,INA,qualifications,,
2011,chn,changzhi,women,12,WangMu RenZeng,CHN,qualifications,,
2011,chn,changzhi,women,13,Santi Wellyanti,INA,qualifications,,
2011,chn,changzhi,women,14,LaMu RENQING,CHN,qualifications,,
2011,chn,changzhi,women,15,Hung Ying Lee,TPE,qualifications,,
2011,chn,changzhi,women,16,Xuhua PAN,CHN,qualifications,,
2011,chn,changzhi,women,17,Rong JIANG,CHN,qualifications,,
2011,chn,changzhi,women,18,wangmu gesang,CHN,qualifications,,
2011,ita,milano,women,1,Kseniia Alekseeva,RUS,qualifications,,
2011,ita,milano,women,2,Mariia Krasavina,RUS,qualifications,,
2011,ita,milano,women,3,Edyta Ropek,POL,qualifications,,
2011,ita,milano,women,4,Klaudia Buczek,POL,qualifications,,
2011,ita,milano,women,5,Yuliya Levochkina ,RUS,qualifications,,
2011,ita,milano,women,6,Valentina Yurina,RUS,qualifications,,
2011,ita,milano,women,7,Lucelia Blanco,VEN,qualifications,,
2011,ita,milano,women,8,Monika Prokopiuk-Kawecka,POL,qualifications,,
2011,ita,milano,women,9,Petra Klingler,SUI,qualifications,,
2011,ita,milano,women,10,Anouck Jaubert,FRA,qualifications,,
2011,ita,milano,women,11,Kseniya Polekhina,RUS,qualifications,,
2011,ita,milano,women,12,Oleksandra BUD Gusaim,UKR,qualifications,,
2011,ita,milano,women,13,Olena Ryepko,UKR,qualifications,,
2011,ita,milano,women,14,Stefanie Pichler,AUT,qualifications,,
2011,ita,milano,women,15,Tamara Kuznetsova,KAZ,qualifications,,
2011,ita,milano,women,16,Esther Bruckner,FRA,qualifications,,
2011,ita,milano,women,17,Ekaterina Boyarskikh ,RUS,qualifications,,
